ID,Title,OPN,CON,EXT,AGR,NEU,Clusters,,,,,
113,Sexuality and Its Impact on History: The British Stripped Bare (Paperback),4.158255671,3.52816738,3.223069538,3.637083946,2.64305996, ,,,,,
114,"God's Hammer (Hakon's Saga, #1)",4.193319463,3.435518763,3.215544134,3.569134945,2.655237868, ,,,,,
115,1066 and All That: A Memorable History of England (Paperback),4.17835441,3.437175804,3.239547659,3.62590648,2.579048691, ,,,,,
116,"The Anglo-Saxon Chronicles: The Authenic Voices of England, from the Time of Julius Caesar to the Coronation of Henry II (Hardcover)",4.244267593,3.487734696,3.344847178,3.62109804,2.542092724, ,,,,,
117,Les MisÃ©rables (Mass Market Paperback),4.283279382,3.430032538,3.388363646,3.580458288,2.582594386, ,,,,,
118,A Short History of Opera (Hardcover),4.196300935,3.383216741,3.131918943,3.641468628,2.632507103, ,,,,,
119,A Rhyming History of Britain: 55 B.C.-A.D. 1966 (Paperback),4.236712244,3.519407708,3.360958184,3.629161312,2.554295981, ,,,,,
120,London: The Biography (Paperback),4.234131606,3.468534738,3.369347744,3.515624103,2.645800996, ,,,,,
121,The Illustrated Encyclopedia of Royal Britain: A Magnificent Study of Britain's Royal Heritage With (Paperback),4.136732142,3.339483489,3.325263263,3.644949791,2.71539207, ,,,,,
122,Albion: The Origins of the English Imagination (Paperback),4.202270557,3.452969584,3.287824569,3.652789791,2.452628199, ,,,,,
123,Royal Panoply: Brief Lives of the English Monarchs (Hardcover),4.188484218,3.493579895,3.28155726,3.605456178,2.574212641, ,,,,,
124,The Kings and Queens of England (Hardcover),4.134417586,3.405948171,3.301493621,3.681179538,2.696944274, ,,,,,
125,High Kings and Vikings (Paperback),4.175022306,3.326675233,3.366876813,3.407118792,2.667574402, ,,,,,
126,What's in a Surname?: A Journey from Abercrombie to Zwicker (Hardcover),4.039709797,3.413850989,3.277052004,3.539661619,2.645693008, ,,,,,
127,Character Is Destiny: Inspiring Stories Every Young Person Should Know and Every Adult Should Remember (Hardcover),4.203164314,3.435464844,3.256434325,3.66661802,2.69050006, ,,,,,
128,Atlas Of Irish History (Paperback),4.11603416,3.349166209,3.237041264,3.648483048,2.592947057, ,,,,,
129,The Course of Irish History (Paperback),4.248027317,3.544894188,3.268739827,3.594781156,2.577540057, ,,,,,
130,London: A Social History (Paperback),4.201568858,3.570226087,3.468144804,3.477979557,2.621561326, ,,,,,
131,The Lion in the North (Paperback),4.207649442,3.444516791,3.451294462,3.611252331,2.499890542, ,,,,,
132,The Sagas of Icelanders (Paperback),4.172924134,3.512581152,3.237405252,3.539982963,2.559975202, ,,,,,
133,"Bundle of Trouble (A Maternal Instincts Mystery, #1)",4.106672671,3.375328535,3.379700212,3.632011242,2.797405448, ,,,,,
134,100 Nasty Women of History (Paperback),4.167991383,3.495423472,3.33074973,3.778189168,2.536498442, ,,,,,
135,"The Best of Trek: From the Magazine for Star Trek Fans (Best of Trek, #1)",3.927181267,3.363341855,2.971504551,3.605010747,2.874538715, ,,,,,
136,"Russia: The Wild East, Part One: From Rulers to Revolutions (Audio CD)",4.120867382,3.510468751,3.255677891,3.590565693,2.429319207, ,,,,,
137,The Bells of Basel,4.255414891,3.657811108,3.485533182,3.604460508,2.313399672, ,,,,,
138,"The Captive Heart (Heart, #3)",4.130320909,3.490968346,3.271374896,3.611351487,2.674885665, ,,,,,
139,Ghosts: The Complete Guide to the Supernatural (Hardcover),4.145263307,3.440659924,3.163969768,3.645574119,2.760445646, ,,,,,
140,The Raven &amp; the Wolf: Chronicle I - Blood Oath (Paperback),4.283275628,3.533072282,3.323884495,3.506161739,2.515518188, ,,,,,
141,"The Prow Beast (Oathsworn, #4)",4.163557652,3.405682849,3.269607026,3.579949039,2.625764145, ,,,,,
142,"The White Raven (Oathsworn, #3)",4.198627597,3.398371734,3.332414044,3.591239516,2.603153723, ,,,,,
143,The History of the Kings of Britain (Paperback),4.206644941,3.436109111,3.292656981,3.565604933,2.562762535, ,,,,,
144,"Origin (Robert Langdon, #5)",4.176827751,3.405632111,3.374292724,3.65653751,2.627349311, ,,,,,
145,"Inferno (Robert Langdon, #4)",4.185434024,3.327000158,3.320870579,3.627059527,2.692986172, ,,,,,
146,"The Lost Symbol (Robert Langdon, #3)",4.166262467,3.400916281,3.286872309,3.572851236,2.715481555, ,,,,,
147,"Angels &amp; Demons (Robert Langdon, #1)",4.198007858,3.413009552,3.289880822,3.65989377,2.662441672, ,,,,,
148,"Sword Song (The Saxon Stories, #4)",4.249207392,3.479182694,3.413229336,3.590437143,2.538864102, ,,,,,
149,"The Pale Horseman (The Saxon Stories, #2)",4.194784087,3.464587295,3.383136931,3.610985418,2.579505339, ,,,,,
150,"Lords of the North (The Saxon Stories, #3)",4.211346668,3.435592376,3.353037116,3.581995936,2.596058228, ,,,,,
151,Fortress of the Golden Dragon: A Persian Tale Inspired by the Shah-Nameh (Paperback),4.34057857,3.53789113,3.249681262,3.593060247,2.382709345, ,,,,,
152,Meetings with Remarkable Manuscripts (Hardcover),4.201388388,3.514879746,3.367255838,3.681419236,2.623623264, ,,,,,
153,The Sea Wolves: A History of the Vikings (Kindle Edition),4.157130249,3.472491425,3.26089107,3.468553273,2.673115966, ,,,,,
154,The Further Adventures of Wonder Woman (Mass Market Paperback),4.140117856,3.696074995,3.452055042,3.828526058,2.636348458, ,,,,,
155,The Prophetic Queen: The Tumultuous Life of Matilde of Ringelheim (Kindle Edition),4.280043851,3.541940681,3.405405717,3.656030561,2.49473656, ,,,,,
156,"Wars of the Irish Kings: A Thousand Years of Struggle, from the Age of Myth through the Reign of Queen Elizabeth I (Paperback)",4.154828911,3.456946222,3.404447382,3.610023513,2.653597159, ,,,,,
157,Equinox (Paperback),0,0,0,0,0, ,,,,,
158,Seven Noble Knights (Paperback),4.219148924,3.399496949,3.363405069,3.504701057,2.601646692, ,,,,,
159,The Hunt (Kindle Edition),4.22810779,3.621706116,3.286978232,3.581204284,2.764486177, ,,,,,
160,Tales of Byzantium: A Selection of Short Stories (Paperback),4.234016496,3.489645115,3.302123465,3.594272014,2.591695268, ,,,,,
161,Wulfstan: An Anglo Saxon Thegn (The Earls of Mercia #6.5),4.271088228,3.329337543,3.292590338,3.658684295,2.64528101, ,,,,,
162,"People of the Songtrail (North America's Forgotten Past, #22)",4.181763448,3.464897385,3.299072874,3.576974971,2.600857592, ,,,,,
163,God's Daughter (Vikings of the New World Saga #1),4.219920511,3.517223401,3.413632552,3.566521113,2.562772773, ,,,,,
164,The Fortune Hunter (Hardcover),4.240200062,3.48093342,3.447912482,3.699269108,2.548264242, ,,,,,
165,"Brunanburh - A novel of 937 (Chronicles of the English, #1)",4.224307081,3.483229058,3.187065238,3.579041208,2.598437819, ,,,,,
166,A Brief History of Chinese and Japanese Civilizations (Paperback),4.183753395,3.550979698,3.242473316,3.63596796,2.483398926, ,,,,,
167,American Hookup: The New Culture of Sex on Campus (Paperback),4.094777645,3.409414519,3.250672283,3.574005514,2.66379671, ,,,,,
168,Classical Chinese Poetry: An Anthology (Paperback),4.377363008,3.547526705,3.365433396,3.732679125,2.438729261, ,,,,,
169,"Bring Me the Head of Prince Charming (Millennial Contest, #1)",4.159215798,3.404815591,3.261981941,3.629944387,2.607249272, ,,,,,
170,Alvar the Kingmaker (Kindle Edition),4.182073481,3.459090148,3.305516786,3.685036565,2.567247548, ,,,,,
171,Mother of Kings (Paperback),4.146804869,3.45734623,3.355278753,3.52473046,2.700647349, ,,,,,
172,The Tale of Murasaki (Paperback),4.206586338,3.511826916,3.404288319,3.552752427,2.565678377, ,,,,,
173,"Rosewater: A Family's Story of Love, Captivity, and Survival (Paperback)",4.164703482,3.496232952,3.370619008,3.600914748,2.622968505, ,,,,,
174,A Tale of False Fortunes (Paperback),4.072284838,3.497360519,3.515471255,3.549610085,2.505718167, ,,,,,
175,Ù‡Ø²Ø§Ø± Ùˆ ÛŒÚ© (1001) Ø´Ø¨ - Ø¬Ù„Ø¯Ù� 5 Ùˆ 6 Ø§Ø² 6 - Ø£Ù„Ù� Ù„ÙŠÙ„Ø© ÙˆÙ„ÙŠÙ„Ø©,0,0,0,0,0, ,,,,,
176,Ù‡Ø²Ø§Ø± Ùˆ ÛŒÚ© (1001) Ø´Ø¨ - Ø¬Ù„Ø¯Ù� 3 Ùˆ 4 Ø§Ø² 6 - Ø£Ù„Ù� Ù„ÙŠÙ„Ø© ÙˆÙ„ÙŠÙ„Ø©,0,0,0,0,0, ,,,,,
177,Ù‡Ø²Ø§Ø± Ùˆ ÛŒÚ© (1001) Ø´Ø¨ - Ø¬Ù„Ø¯Ù� 1 Ùˆ 2 Ø§Ø² 6 - Ø£Ù„Ù� Ù„ÙŠÙ„Ø© ÙˆÙ„ÙŠÙ„Ø©,0,0,0,0,0, ,,,,,
178,"The Very Virile Viking (Viking II, #3)",4.127710731,3.384032389,3.190029038,3.573066236,2.737753713, ,,,,,
179,Ø¶Ø­Ø§Ú© Ø§Ø² Ø´Ø§Ù‡Ù†Ø§Ù…Ù‡ Ù�Ø±Ø¯ÙˆØ³ÛŒ (Paperback),0,0,0,0,0, ,,,,,
